PC1,PC2,PC3,PC4,Tissue,age
45.92573982425091,-54.31186724931839,-91.7692792510754,-3.099227201662278,Liver,30-39
49.06320592125892,-25.652066834174796,-84.013371324021,8.510646177135808,Liver,40-49
45.448229340004374,-38.09339373192734,-91.26454923779464,29.712367966866175,Liver,50-59
44.82959794024355,-35.95958438008297,-80.3019952673944,-10.646262929085337,Liver,50-59
46.47077805239537,-40.94085312100972,-88.49108181893592,3.8619940067213063,Liver,50-59
43.538451679376514,-43.641332917814,-95.44781506840245,10.350624625904338,Liver,40-49
42.377288227249565,-43.795431485960684,-92.14601447544102,15.882435708361117,Liver,50-59
44.76941576239473,-43.982008832521245,-78.26074095990491,-19.233623040942167,Liver,40-49
51.700704227119445,-35.11231566795799,-84.68565393920463,11.071790342961805,Liver,60-69
-8.482448154886328,-69.88601768808087,64.47226393910864,4.01885181015719,Muscle,60-69
-18.291659516779173,-89.94567382721347,61.80014628069232,6.464236434263193,Muscle,50-59
-16.847380390908242,-81.82189276505912,62.5507419661539,9.613656570138431,Muscle,60-69
-20.522907528887266,-87.87905393881243,57.32204318750213,4.364278180383961,Muscle,60-69
-18.252414836723148,-91.3271710901147,60.552868696384465,2.464447741874713,Muscle,30-39
-12.427393357515403,-77.42140133162505,64.92846216073127,3.467907134221349,Muscle,60-69
-16.963423159788146,-83.30844227001342,62.5175908790735,8.990641494471934,Muscle,60-69
-16.275585946624453,-81.62286565059297,54.14321521403052,12.934403110714781,Muscle,40-49
-16.533219183534698,-81.494690052925293,62.41376716157729,4.877814465062038,Muscle,50-59
-8.733141076794142,-75.44657005162946,68.50837492119017,-18.701621712888354,Muscle,50-59
-15.0106319352965,-84.03156387461618,64.76510739937862,0.32167088079690076,Muscle,50-59
-17.41456300021652,-82.00399012605479,49.675550882881694,14.884025302128368,Muscle,60-69
-15.48351262455703,-85.496277112243,58.315963373274776,-4.385942294595139,Muscle,50-59
-21.030235754208725,-95.8378788884038,60.532565494229075,6.697303221390958,Muscle,40-49
-15.798899455220896,-86.83605221061315,64.70742640949913,3.5701640370075585,Muscle,20-29
-16.048970316488006,-90.24754488790559,64.9268181718604,-5.534405315972628,Muscle,40-49
-3.643523302976916,-72.78975917842853,74.65058309198189,-22.13197544951746,Muscle,50-59
2.989004374955779,-57.66819895035798,60.841939222488215,-16.06799929370317,Muscle,40-49
-17.71308818024865,-94.5594414567374,60.50252689559318,-4.1729331351457875,Muscle,50-59
-18.48353352737234,-78.35644516558659,62.07520641255878,4.087842969851538,Muscle,60-69
-10.568703393507475,-80.01242061214849,67.20290976031986,-5.880907434466075,Muscle,60-69
-12.611500145061525,-84.4278663208922,65.58996020061463,2.521119511047352,Muscle,60-69
-16.849529397836502,-83.68062519499297,58.83358466717746,9.25630323388745,Muscle,50-59
-5.329969631946179,-69.78370078958335,65.99864161467731,-8.19793432165425,Muscle,50-59
-18.580861130795835,-79.89864981757249,62.050903859617925,-3.420891713017733,Muscle,40-49
-8.68912705082601,-70.65814299780922,66.79756666701903,3.8646496645920627,Muscle,70-79
-9.849067268476016,-80.7765067655518,66.31211333038168,-13.691583945763217,Muscle,60-69
-13.950946609311448,-74.95307075079741,62.471079056066436,5.40003671488299,Muscle,60-69
-10.490096334726653,-73.80725487503327,70.42154862808668,-9.501849588601567,Muscle,60-69
