PC1,PC2,PC3,PC4,Tissue,age
-17.978546768452613,-42.48643935750019,-23.511071860319294,-14.820458650919816,Nerve,50-59
-7.465598583076307,-40.0089745313145,-24.63493610105286,-14.031647267314835,Nerve,60-69
-12.816982565330363,-49.29323394154879,-24.559558648073267,-20.783452241772213,Nerve,50-59
-0.3716257544399141,-36.76089370972048,-24.81109632713807,-15.768452952243251,Nerve,50-59
-6.079777310030177,-40.2213771579373,-27.110388808131326,-18.023142413424388,Nerve,40-49
-11.362142877842121,-37.830271371876655,-14.10445439760759,-13.721895420913258,Nerve,50-59
2.3817005965833826,-31.22175753399103,-32.32913269611743,-15.340929039735933,Nerve,50-59
-4.05070851890529,-42.96985133054977,-24.689144009680323,-17.667517528384007,Nerve,60-69
-1.2356842897839422,-40.32687347242202,-23.9287239598845,-15.289540885718871,Nerve,60-69
4.561201273715225,-28.71685734224238,-24.345353241145947,-13.007307103532938,Nerve,50-59
2.394132840793475,-33.84137933786995,-32.862327120385046,-13.030687854912776,Nerve,70-79
-3.1213652659149327,-46.17995138152338,-25.533607816694644,-23.314320463830466,Nerve,60-69
-9.26964100958269,-43.1702618006933,-30.464663808269552,-22.496898210105474,Nerve,60-69
-4.483493871740798,-38.620456861617164,-25.926850581144116,-18.352990084598595,Nerve,70-79
-13.311365499242912,-35.01667413855484,-18.745635841308154,-0.7696423317300308,Nerve,50-59
-0.23276601764744476,-41.85068717981046,-26.868950977079315,-21.98042319996984,Nerve,60-69
-7.787211555727884,-41.144253342496384,-31.921330411922938,-22.474276982088146,Nerve,60-69
-0.4815716478847543,-35.37797542138081,-11.14139615334978,-13.319108722980413,Nerve,60-69
-11.170213365644534,-42.97986198960471,-16.128634145068034,-13.71210628372699,Nerve,50-59
3.1011083087847084,-34.417695728322215,-24.17998898298926,-20.369832028390235,Nerve,60-69
0.08710918291934229,-35.01309212616907,-31.763487183173044,-19.315495670330193,Nerve,60-69
5.920063806744505,-41.25504376106256,-19.789917280968577,-18.572326900213884,Nerve,60-69
-0.7110779803659967,-35.40819268785668,-26.9782930980319,-15.390881577608129,Nerve,50-59
0.3560955011770967,-30.86325532028754,-31.757434961790533,-15.395346969584518,Nerve,50-59
-8.703706091376414,-14.484517130700857,-18.063640283390495,1.6149083802203397,Nerve,40-49
-2.3204773491865214,-31.967763584709566,-28.09639943158769,-9.922882365594443,Nerve,50-59
-6.718253857052796,-24.850532957563797,-28.053804254829895,-13.311600296684594,Nerve,50-59
-0.4637672675835946,-37.47765907042564,-29.226052934274097,-14.979990354440936,Nerve,50-59
-0.9389264369743694,-38.451148690265214,-20.9323212451305,-14.908301071627577,Nerve,50-59
-0.43574089196763227,-34.10282465954774,-25.270646895666406,-8.835810301209756,Nerve,40-49
49.436734144609815,11.499198719661639,-49.07298146971238,26.686344922890623,Pituitary,50-59
46.60094119494856,11.266585414263943,-51.22456035381933,14.144232595127159,Pituitary,40-49
75.93008468477754,23.999255427497694,-42.1301479547602,30.087648840164952,Pituitary,50-59
79.43637544138247,21.642960646747408,-35.60111646967719,33.08762384991928,Pituitary,60-69
